,title,url,date,tag,scraped,collections,text,subheadings,image_urls
22,"Provincie Flevoland voert spoeddebat over Konikpaarden, maar gaat er niet over",https://www.volkskrant.nl/nieuws-achtergrond/provincie-flevoland-voert-spoeddebat-over-konikpaarden-maar-gaat-er-niet-over~bb2212f7/,2019-07-31,Nieuws & Achtergrond,False,,,,
23,Gaan we anders leven door warmer weer? ‘Misschien gaan we siësta’s houden’,https://www.volkskrant.nl/nieuws-achtergrond/gaan-we-anders-leven-door-warmer-weer-misschien-gaan-we-siesta-s-houden~bb02bc24/,2019-07-26,Nieuws & Achtergrond,False,,,,
24,"Vandaag nóg warmer dan gisteren, in de brandende zon onderzoeken wetenschappers stedelijke ‘hittestress’",https://www.volkskrant.nl/nieuws-achtergrond/vandaag-nog-warmer-dan-gisteren-in-de-brandende-zon-onderzoeken-wetenschappers-stedelijke-hittestress~bed9bfea/,2019-07-25,Nieuws & Achtergrond,False,,,,
25,Volkskrant Ochtend: Implantaten uit 3D-printer laten Utrechtse patiënt weer lopen | Hebben dieren ook een Nationaal Hitteplan nodig?,https://www.volkskrant.nl/nieuws-achtergrond/volkskrant-ochtend-implantaten-uit-3d-printer-laten-utrechtse-patient-weer-lopen-hebben-dieren-ook-een-nationaal-hitteplan-nodig~bcb30242/,2019-07-24,Nieuws & Achtergrond,False,,,,
26,Sparen voor de droogte: gebruik de bodem als watertank,https://www.volkskrant.nl/nieuws-achtergrond/sparen-voor-de-droogte-gebruik-de-bodem-als-watertank~b173286d/,2018-12-07,Nieuws & Achtergrond,False,,,,
27,Een groene waterkant aan Waal en Rijn: Arnhem en Nijmegen nemen hun rivierkades onder handen,https://www.volkskrant.nl/nieuws-achtergrond/een-groene-waterkant-aan-waal-en-rijn-arnhem-en-nijmegen-nemen-hun-rivierkades-onder-handen~b92eb71d/,2018-12-03,Nieuws & Achtergrond,False,,,,
28,Volkskrant Avond: Trump wil Iran via economie op de knieën krijgen | Slecht slapen en een oververhit brein: hittestress bestaat echt,https://www.volkskrant.nl/nieuws-achtergrond/volkskrant-avond-trump-wil-iran-via-economie-op-de-knieen-krijgen-slecht-slapen-en-een-oververhit-brein-hittestress-bestaat-echt~b2bf1a3d/,2018-07-23,Nieuws & Achtergrond,False,,,,
29,Een oververhit hoofd: het bestaat echt,https://www.volkskrant.nl/beter-leven/een-oververhit-hoofd-het-bestaat-echt~b8e7fd2a/,2018-07-23,Voorpagina,False,,,,
30,"'Tegel eruit, plant erin': zo wordt de Nederlandse tuin groener",https://www.volkskrant.nl/economie/tegel-eruit-plant-erin-zo-wordt-de-nederlandse-tuin-groener~b2fa9a9f/,2018-03-27,Economie,False,,,,
31,Nijmegen wil zichtbaar 'vergroenen' door bodemverharding te verwijderen,https://www.volkskrant.nl/economie/nijmegen-wil-zichtbaar-vergroenen-door-bodemverharding-te-verwijderen~bd900278/,2018-03-22,Economie,False,,,,
